Accession,Title,Series Type,Taxonomy,Sample Count,Datasets,Supplementary Types,Supplementary Links,PubMed ID,SRA Accession,Contact,Release Date
GSE74439,"The pentose phosphate pathway regulates the circadian clock","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",34,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE74nnn/GSE74439/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA300419",27546460,SRP065440,"Guillaume Rey","Aug 18, 2016"
GSE85488,"Regulation of stem cell maintenance and lymphoid specification by the ubiquitin ligase Huwe1","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",8,,"BW;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE85nnn/GSE85488/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA338631",27668798,SRP081281,"Charalampos Lazaris","Aug 18, 2016"
GSE60812,"p63 binding regions in HaCaT epidermal keratinocyte infected with caRAS/dnRAS and treated with TGF-beta","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",5,,"BED;WIG;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE60nnn/GSE60812/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA259609",27555661,SRP045807,"Daizo Koinuma","Aug 12, 2016"
GSE60814,"Ras and TGF-beta signaling aggravates the metastatic and invasive potential of cancer cells through activation of the deltaNp63 alpha transcriptional program","Expression profiling by array;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",13,,"BED;CEL;WIG","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE60nnn/GSE60814/suppl",27555661,,"Daizo Koinuma","Aug 12, 2016"
GSE72009,"Identification of p63 binding regions in a p63 expressing basal-subtype breast cancer cell line, MCFDCIS.","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",6,,"NARROWPEAK;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE72nnn/GSE72009/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA292709",,SRP062337,"Xiaoyu Wang","Aug 11, 2016"
GSE72143,"PHB Acts as a Member of the HIRA Complex to Control an Epigenetic and Metabolic Circuitry","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",6,,"BED;TSV;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE72nnn/GSE72143/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA293189",,SRP062543,"Zhexin Zhu","Aug 11, 2016"
GSE82131,"HiSeq Chip-seq analysis of whole genomic landscape of G9a and H3K9me2-targeted in CCICs","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",4,,"WIG;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE82nnn/GSE82131/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA324111",,SRP075976,"SHIH-TING CHA","Aug 10, 2016"
GSE76454,"The Chromatin-Looping Factor ZNF143 Engages at Looping Promoters to Favor the Estrogen Response in Breast Cancer (ChIP-seq)","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",4,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE76nnn/GSE76454/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA307353",,SRP067978,"Mathieu Lupien","Aug 09, 2016"
GSE76460,"The Chromatin-Looping Factor ZNF143 Engages at Looping Promoters to Favor the Estrogen Response in Breast Cancer","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",16,,,,,,"Mathieu Lupien","Aug 09, 2016"
GSE79893,"Epigenomic remodeling of the PAX8 cistrome in high grade serous ovarian cancer [ChIP-Seq]","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",12,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE79nnn/GSE79893/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA317336",27617304,SRP072841,"Kevin Meyer Elias","Aug 08, 2016"
GSE83101,"Epigenomic remodeling of the PAX8 cistrome in high grade serous ovarian cancer","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",46,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE83nnn/GSE83101/suppl",27617304,,"Kevin Meyer Elias","Aug 08, 2016"
GSE82123,"Genome-wide binding of hSTN1 in response to hydroxyurea-induced replication stress","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",3,,"BEDGRAPH;TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE82nnn/GSE82123/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA324101",27487043,SRP075971,"Weihang Chai","Aug 06, 2016"
GSE76688,"G-quadruplex structures mark human regulatory chromatin","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing;Other","Homo sapiens",52,,"NARROWPEAK;TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE76nnn/GSE76688/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA308317",27618450;30275516,SRP068243,"Dario Beraldi","Aug 05, 2016"
GSE84782,"GATA-2 occupancy in Kasumi-3 cell line","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",3,,"SGR;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE84nnn/GSE84782/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA331135",27545880,SRP079678,"Kyle Hewitt","Aug 05, 2016"
GSE81600,"A long noncoding RNA regulates sister chromatid cohesion [ChIP-seq]","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",6,,"BEDGRAPH;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE81nnn/GSE81600/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA322066",27477908,SRP075372,"Maite Huarte","Aug 03, 2016"
GSE81602,"A long noncoding RNA regulates sister chromatid cohesion","Expression profiling by array;Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",15,,"BEDGRAPH;CEL;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE81nnn/GSE81602/suppl",27477908,,"Maite Huarte","Aug 03, 2016"
GSE85117,"INO80 is required for oncogenic transcription and tumor growth in non-small cell lung cancer [ChIP-seq]","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",8,,"BEDGRAPH;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE85nnn/GSE85117/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA336231",,SRP080821,"Li Wang","Aug 03, 2016"
GSE85119,"INO80 is required for oncogenic transcription and tumor growth in non-small cell lung cancer","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",12,,"BEDGRAPH;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE85nnn/GSE85119/suppl",,,"Li Wang","Aug 03, 2016"
GSE71254,"Effect of Gfi1 36N variant on genome-wide H3K9 Acetylation patterns","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens;Mus musculus",24,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE71nnn/GSE71254/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA290712",27216773,SRP061451,"Möröy Tarik","Aug 01, 2016"
GSE71483,"Epigenetic Alterations in Density Selected Human Spermatozoa for Assisted Reproduction","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",6,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE71nnn/GSE71483/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA291365",26709917,SRP061744,"Zhaofeng Huang","Aug 01, 2016"
GSE72690,"Genome-wide analysis reveals positional-nucleosome-oriented binding pattern of pioneer factor FOXA1","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",8,,"BIGWIG;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE72nnn/GSE72690/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA294665",27458208,SRP063295,"Zhenqing Ye","Aug 01, 2016"
GSE84941,"Bcl11b defect in a human severe combined immunodeficiency with multisystem anomalies","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",6,,"BED;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE84nnn/GSE84941/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA335768",,SRP080166,"Divya Punwani","Jul 29, 2016"
GSE82260,"ZMYND8 reads the dual histone mark H3K4me1-H3K14ac to antagonize the expression of metastasis-linked genes","Genome binding/occupancy profiling by high throughput sequencing;Expression profiling by high throughput sequencing","Homo sapiens",35,,"TXT;WIG;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE82nnn/GSE82260/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA324450",27477906,SRP076126,"JIE Lv","Jul 28, 2016"
GSE74967,"Reprogramming-associated aberrant DNA methylation determines hematopoietic differentiation capacity of human induced pluripotent stem cells","Methylation profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",29,,"BW;TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE74nnn/GSE74967/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA302057",27476965,SRP066123,"Akira Watanabe","Jul 27, 2016"
GSE64072,"Genome-wide maps of chromatin state in LATS2-knockout HeLa-S3 cell","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",8,,"BW","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE64nnn/GSE64072/suppl",27434182,,"Daisuke Okuzaki","Jul 26, 2016"
GSE81795,"An epigenetic mark of polycomb response elements implemented by Trx/MLL/COMPASS","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Drosophila melanogaster;Homo sapiens",87,,"BW;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE81nnn/GSE81795/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA322547",27447986,SRP075582,"Ali Shilatifard","Jul 26, 2016"
GSE63538,"LATS2 regulates repressive epigenetic integrity via regulation of Polycomb repressive complex 2","Expression profiling by high throughput sequencing;Expression profiling by array;Non-coding RNA profiling by array;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens;Mus musculus",36,,"BW;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE63nnn/GSE63538/suppl",27434182,,"Daisuke Okuzaki","Jul 25, 2016"
GSE72481,"A Primary Role of TET Proteins in Establishment and Maintenance of De Novo Bivalency at CpG Islands of Developmental Genes","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens;Mus musculus",30,,"BED;BEDGRAPH;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE72nnn/GSE72481/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA294136",27288448,SRP062940,"Shi Yang","Jul 25, 2016"
GSE77854,"HP1BP3, a chromatin retention factor for co-transcriptional microRNA processing (ChIP-Seq)","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",6,,"BED;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE77nnn/GSE77854/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA311743",27425409,SRP069982,"Ralf Kittler","Jul 24, 2016"
GSE77856,"HP1BP3, a chromatin retention factor for co-transcriptional microRNA processing","Non-coding RNA profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",10,,,,27425409,,"Ralf Kittler","Jul 24, 2016"
GSE73363,"FOXA1 potentiates lineage-specific enhancer activation through modulating TET1 expression and function","Methylation profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",18,,"BEDGRAPH;TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE73nnn/GSE73363/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA296797",27257062,SRP064122,"Jindan Yu","Jul 22, 2016"
GSE69394,"Distinct Function for ASCL1 and NEUROD1 in Pulmonary Neuroendocrine Tumors (ChIP-seq)","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens;Mus musculus",9,,"BEDGRAPH;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE69nnn/GSE69394/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA285364",27452466,SRP058872,"Jane E Johnson","Jul 21, 2016"
GSE69398,"Distinct Function for ASCL1 and NEUROD1 in Pulmonary Neuroendocrine Tumors","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens;Mus musculus",15,,"BEDGRAPH","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE69nnn/GSE69398/suppl",27452466,,"Jane E Johnson","Jul 21, 2016"
GSE71238,"Deciphering H3K4me3 Broad Domains Associated With Gene Regulatory Networks and Conserved Epigenomic Landscapes in the Human Brain","Genome binding/occupancy profiling by high throughput sequencing;Expression profiling by high throughput sequencing","Homo sapiens",18,,"BED;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE71nnn/GSE71238/suppl",26575220,,"Aslihan Dincer","Jul 21, 2016"
GSE72929,"Deciphering H3K4me3 Broad Domains Associated With Gene Regulatory Networks and Conserved Epigenomic Landscapes in the Human Brain [ChIP-Seq]","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",6,,"BED;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE72nnn/GSE72929/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA295365",26575220,SRP063599,"Aslihan Dincer","Jul 21, 2016"
GSE80105,"Synergistic model of chromatin predicts Dnase-I accessibility","Genome binding/occupancy profiling by high throughput sequencing;Methylation profiling by high throughput sequencing","Homo sapiens;Mus musculus",8,,"TAR;TSV;TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE80nnn/GSE80105/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA318029",27456004,SRP073108,"David Gifford","Jul 20, 2016"
GSE81623,"EZH2 and BCL6 cooperate to assemble CBX8-BCOR Polycomb complex to repress bivalent promoters, mediate germinal center formation and promote lymphomagenesis [ChIP-seq]","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",2,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE81nnn/GSE81623/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA322333",27505670,SRP075486,"Matt Teater","Jul 20, 2016"
GSE81705,"EZH2 and BCL6 cooperate to assemble CBX8-BCOR Polycomb complex to repress bivalent promoters, mediate germinal center formation and promote lymphomagenesis","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",20,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE81nnn/GSE81705/suppl",27505670,,"Matt Teater","Jul 20, 2016"
GSE84487,"Vicious circle of LSD1 and TGF β1 promotes EMT of gastric cancer","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",6,,"WIG;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE84nnn/GSE84487/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA329586",,SRP078908,"Jinlian Ma","Jul 19, 2016"
GSE70161,"Chromatin targets of androgen receptor and PIAS1 in molecular apocrine breast cancer cells [ChIP-seq]","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",7,,"BED;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE70nnn/GSE70161/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA287765",26219822,SRP059781,"Sari Toropainen","Jul 18, 2016"
GSE70163,"Chromatin targets of androgen receptor and coregulator PIAS1 in molecular apocrine breast cancer cells","Genome binding/occupancy profiling by high throughput sequencing;Expression profiling by array","Homo sapiens",19,,,,26219822,,"Sari Toropainen","Jul 18, 2016"
GSE75868,"Molecular Criteria for Defining the Naive Human Pluripotent State","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing;Methylation profiling by high throughput sequencing","Homo sapiens",40,,"PILEUP;TSV;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE75nnn/GSE75868/suppl",27424783,,"Joseph R Ecker","Jul 18, 2016"
GSE65838,"Dnmt3a and Dnmt3b associate with enhancers to regulate human epidermal stem cell homeostasis","Genome binding/occupancy profiling by high throughput sequencing;Methylation profiling by high throughput sequencing;Expression profiling by high throughput sequencing","Homo sapiens",65,,"BED;TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE65nnn/GSE65838/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA275188",27476967,SRP054246,"Debayan Datta","Jul 15, 2016"
GSE83660,"High Resolution Mapping of RNA Polymerases Identifies Mechanisms of Sensitivity and Resistance to BET Inhibitors in t(8;21) AML","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing;Other","Homo sapiens",22,,"BEDGRAPH;TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE83nnn/GSE83660/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA326664",27498870,SRP077005,"Scott W Hiebert","Jul 15, 2016"
GSE84382,"ChIP-seq of naive and primed ES cells","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",8,,"PNG;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE84nnn/GSE84382/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA329013",27424783,SRP078464,"Joseph R Ecker","Jul 15, 2016"
GSE84456,"Ascl2 acts as an R-spondin/Wnt responsive switch to control stemness in intestinal crypts [ChIP-seq]","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens;Mus musculus",6,,"WIG","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE84nnn/GSE84456/suppl",25620640,,"Jurian Schuijers","Jul 15, 2016"
