Accession,Title,Series Type,Taxonomy,Sample Count,Datasets,Supplementary Types,Supplementary Links,PubMed ID,SRA Accession,Contact,Release Date
GSE133071,"High-throughput combinatorial indexing enables scalable single-cell chromatin accessibility profiling [Validation]","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",5,,"CSV;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE133nnn/GSE133071/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA549875",,SRP201983,"Caleb A Lareau","Jun 20, 2019"
GSE124720,"Spliceosomal disruption of the non-canonical BAF complex in cancer","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",21,,"BW;NARROWPEAK;TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE124nnn/GSE124720/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA513262",,SRP176407,"Guo-Liang Chew","Jun 19, 2019"
GSE125768,"Point mutations in the PDX1 transactivation domain impair human β-cell development and function (ChIP-Seq)","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",5,,"BED;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE125nnn/GSE125768/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA517474",30930126,SRP182693,"Heiko Lickert","Jun 19, 2019"
GSE125770,"Point mutations in the PDX1 transactivation domain impair human β-cell development and function","Expression profiling by high throughput sequencing;Expression profiling by array;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",66,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE125nnn/GSE125770/suppl",30930126,,"Heiko Lickert","Jun 19, 2019"
GSE130364,"SMAD3 ChIP-seq in Triple-Negative Breast Cancer Cells","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",8,,"BW;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE130nnn/GSE130364/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA539904",,SRP193960,"Angelique Whitehurst","Jun 19, 2019"
GSE83579,"Mapping of CTCF occupancy in interphase and mitosis cells","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",3,,"BEDGRAPH;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE83nnn/GSE83579/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA326414",,SRP076865,"Takeshi SEKIYA","Jun 18, 2019"
GSE115787,"The MybMuvB complex is required for YAP dependent transcription of mitotic genes","Genome binding/occupancy profiling by high throughput sequencing;Expression profiling by high throughput sequencing","Homo sapiens;Mus musculus",33,,"BEDGRAPH;TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE115nnn/GSE115787/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA476018",31216474,SRP150501,"Stefan Gaubatz","Jun 18, 2019"
GSE125379,"RB1 deletion in RB-pathway disrupted cells results in DNA damage and cancer progression","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",15,,"BED;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE125nnn/GSE125379/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA515944",31138663,SRP180374,"Fred Dick","Jun 18, 2019"
GSE128259,"Loss of DKM6A confers drug resistance in acute myeloid leukemia (ChIP-seq of AML cell lines MM-1 and MM-6)","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",8,,"BIGWIG;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE128nnn/GSE128259/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA526903",31201358,SRP188359,"Helena Domínguez Moreno","Jun 18, 2019"
GSE128261,"Loss of DKM6A confers drug resistance in acute myeloid leukemia (ChIP-seq of AML cell lines K562 and THP-1)","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",5,,"BIGWIG;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE128nnn/GSE128261/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA526902",31201358,SRP188360,"Helena Domínguez Moreno","Jun 18, 2019"
GSE128262,"Loss of DKM6A confers drug resistance in acute myeloid leukemia","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",13,,"BIGWIG","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE128nnn/GSE128262/suppl",31201358,,"Helena Domínguez Moreno","Jun 18, 2019"
GSE132827,"Elucidating the oncogenic role of Menin in prostate cancer progression","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",6,,"BW;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE132nnn/GSE132827/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA549240",,SRP201596,"Chaima cherif","Jun 18, 2019"
GSE129574,"Reverse gene-environment interaction approach to identify variants influencing body mass index in humans","Genome binding/occupancy profiling by high throughput sequencing;Other","Homo sapiens",8,,"NARROWPEAK;TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE129nnn/GSE129574/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA531837",,SRP191780,"Kristina Marie Garske","Jun 17, 2019"
GSE129521,"Neuronal differentiation and cell-cycle programs mediate response to BET-bromodomain inhibition in MYC-driven medulloblastoma (ChIP-seq)","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",22,,"BED;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE129nnn/GSE129521/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA531655",31160565,SRP192023,"Pratiti Bandopadhayay","Jun 16, 2019"
GSE113480,"cis-Regulatory Chromatin Contacts in Neural Cells Reveal Contributions of Genetic Variants to Complex Neurological Disorders [ATAC-seq]","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",11,,"BIGWIG;NARROWPEAK;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE113nnn/GSE113480/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA451217",,SRP141472,"Yin Shen","Jun 15, 2019"
GSE113483,"cis-Regulatory Chromatin Contacts in Neural Cells Reveal Contributions of Genetic Variants to Complex Neurological Disorders","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing;Other","Homo sapiens",39,,"BIGWIG;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE113nnn/GSE113483/suppl",,,"Yin Shen","Jun 15, 2019"
GSE126211,"cis-Regulatory Chromatin Contacts in Neural Cells Reveal Contributions of Genetic Variants to Complex Neurological Disorders [CUT&RUN]","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",6,,"BW;NARROWPEAK;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE126nnn/GSE126211/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA521322",,SRP184484,"Yin Shen","Jun 15, 2019"
GSE111898,"Single-cell transcriptomic analysis of tissue resident memory T cells in human lung cancer.","Expression profiling by high throughput sequencing;Other;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",1252,,,,,,"Pandurangan Vijayanand","Jun 13, 2019"
GSE125858,"Single-cell transcriptomic analysis of tissue resident memory T cells in human lung cancer [ATAC-Seq]","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",9,,"BW;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE125nnn/GSE125858/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA517712",,SRP182843,"Pandurangan Vijayanand","Jun 13, 2019"
GSE128072,"Genetic and Epigenetic Fine Mapping of Complex Trait Associated Loci in the Human Liver","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",1794,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE128nnn/GSE128072/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA526249",,SRP187978,"Minal Caliskan","Jun 13, 2019"
GSE132391,"Elongation Factor TFIIS Prevents Transcription Stress and R-Loop Accumulation to Maintain Genome Stability [ChIP-seq]","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",4,,"BIGWIG;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE132nnn/GSE132391/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA547803",,SRP200797,"Richard James Mitter","Jun 13, 2019"
GSE132400,"Elongation Factor TFIIS Prevents Transcription Stress and R-Loop Accumulation to Maintain Genome Stability","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing;Other","Homo sapiens",14,,"BIGWIG","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE132nnn/GSE132400/suppl",,,"Richard James Mitter","Jun 13, 2019"
GSE95280,"The hypoxic landscape of melanoma","Genome binding/occupancy profiling by high throughput sequencing;Expression profiling by high throughput sequencing","Homo sapiens",42,,"BEDGRAPH;TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE95nnn/GSE95280/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA376554",,SRP100624,"Pakavarin Louphrasitthiphol","Jun 12, 2019"
GSE116356,"Developmental enhancer signatures stratify and predict outcomes of non-functional pancreatic neuroendocrine tumors","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",79,,"BED;BW;TSV","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE116nnn/GSE116356/suppl",,,"Yotam N Drier","Jun 12, 2019"
GSE120942,"IFN-γ selectively suppresses a subset of TLR4-activated genes and enhancers to potentiate M1-like macrophage polarization [ATAC-seq]","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",4,,"BIGWIG;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE120nnn/GSE120942/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA495073",,SRP164576,"Keunsoo Kang","Jun 12, 2019"
GSE120943,"IFN-γ selectively suppresses a subset of TLR4-activated genes and enhancers to potentiate M1-like macrophage polarization [ChIP-seq]","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",21,,"BIGWIG;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE120nnn/GSE120943/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA495074",,SRP164577,"Keunsoo Kang","Jun 12, 2019"
GSE122847,"Cistromic re-programming by truncating GATA3 mutations promotes mesenchymal transformation in vitro, but not mammary tumour formation in mice [ChIP-seq]","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",26,,"BED;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE122nnn/GSE122847/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA506682",31218575,SRP170414,"Lisette Cornelissen","Jun 12, 2019"
GSE122849,"Cistromic re-programming by truncating GATA3 mutations promotes mesenchymal transformation in vitro, but not mammary tumour formation in mice","Genome binding/occupancy profiling by high throughput sequencing;Expression profiling by high throughput sequencing","Homo sapiens",34,,"BED","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE122nnn/GSE122849/suppl",31218575,,"Lisette Cornelissen","Jun 12, 2019"
GSE131294,"IFN-γ selectively suppresses a subset of TLR4-activated genes and enhancers to potentiate M1-like macrophage polarization [ChIP-seq II]","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",4,,"BIGWIG;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE131nnn/GSE131294/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA543132",,SRP198543,"Keunsoo Kang","Jun 12, 2019"
GSE120945,"IFN-γ selectively suppresses a subset of TLR4-activated genes and enhancers to potentiate M1-like macrophage polarization","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",57,,"BIGWIG;TAB;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE120nnn/GSE120945/suppl",,,"Keunsoo Kang","Jun 11, 2019"
GSE132424,"Estrogen-independent molecular actions of mutant estrogen receptor alpha in endometrial cancer [ATAC-seq]","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",20,,"BEDGRAPH;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE132nnn/GSE132424/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA548065",,SRP200986,"Jason Gertz","Jun 11, 2019"
